brand,product_name,product_id
Crocs,Women's Capri V Flip Flop | Casual Sandal With Extra Soft Footbed and Soft Leather Straps | Lightweight Beach Shoe,B010121QG8
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, White, 18 M US Women / 16 M US Men",B01B8D52TG
Crocs,Women's Neria Pro Ii Clog | Slip-Resistant Work and Nursing Shoe,B07CN8X73M
Crocs,Women's Classic Mule Ice Blue - 10 B(M) US Women / 8 D(M) US Men,B01NCNRJ9D
Crocs,Women's Classic Mule Grass Green - 13 US Men/ 15 US Women M US,B071FTWCX2
Crocs,Men's and Women's Crocband Clog | Comfortable Slip on Casual Water Shoe,B07CN8XRZZ
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 11 M US Women / 9 M US Men",B0014C3UEQ
Crocs,Classic Clog|Comfortable Slip On Casual Water Shoe,B07DFLMDMJ
Crocs,Women's Classic Mule Slate Grey - 4 US Men/ 6 US Women M US,B071FBKTRQ
Crocs,Women's Classic Mule Ballerina Pink - 7 US Men/ 9 US Women M US,B0719LG7M3
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Black, 18 M US Women / 16 M US Men",B005PQQ1KC
Crocs,"Classic Clog|Comfortable Slip on Casual Water Shoe, Army Green, 12 M US Women / 10 M US Men",B0014C2N3A
Crocs,"Women's Classic Clog | Comfortable Slip on Casual Water Shoe, Tangerine, 15 M US Women / 13 M US Men",B010WE7P6K
Crocs,Men's and Women's Bayaband Slide Sandal,B07B87JNYS
Crocs,Women's Literide Mesh Lace-up Sneaker,B07DKW75JR
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, cobblestone, 16 M US Women / 14 M US Men",B07DFJW8KX
Crocs,Women's Reviva Flip Flop,B07CN3BDNW
Crocs,Women's Swiftwater Mesh Sandal Flat,B07DLK7WFQ
Crocs,Men's and Women's Literide Clog | Casual Slip on | Comfort Technology,B076JKPZGT
Crocs,Ralen Clog Kids Unisex,B00E3X1C20
Crocs,Kids' Classic Glitter Clog,B0787KH4N8
Crocs,Men's Swiftwater Wave Sandal Flat,B07L95JZ5X
Crocs,Crocband Clog | Comfortable Slip on Casual Water Shoe,B01HQAM2GG
Crocs,Women's Classic Mule Garnet - 7 B(M) US Women / 5 D(M) US Men,B01MQY6ZHL
Crocs,Men's and Women's Baya Clog |Comfortable Slip on Casual Water Shoe,B00HWSV2YG
Crocs,Women's Busy Day Stretch Asymmetrical Wedge,B010WF2BGI
Crocs,Women's Unisex Bistro Work Clog,B07CN8YKHX
Crocs,Unisex Modi Sport Flip Flop,B010WFLXD0
Crocs,11033 Flip Flop,B07CN4H1ZW
Crocs,Women's Alice Work Flat,B0037KMTCC
Crocs,Women's Sloane Slide,B07DLSH6B7
Crocs,Women's Bistro Pro Literide Clog,B07CN8YZ7T
Crocs,Women's Jaunt Shorty Boot,B00DU93UTQ
Crocs,"Women's Classic Clog|Comfortable Slip On Casual Water Shoe, Grass Green, 8 M US Women / 6 M US Men",B072Q63YF6
Crocs,Women's Patricia Wedge Sandal,B001IV5B7M
Crocs,Women's Meleen Cross Band Slide Sandal,B07DLRDXMD
Crocs,Women's Classic Mule Grass Green - 17 US Men/ 19 US Women M US,B071ZSY4LW
Crocs,Women's Sanrah Metal Block Strap Wedge Sandal,B07DLK7QP5
Crocs,Men's and Women's Athens Flip Flop,B01N4GC3BH
Crocs,Women's Classic Mule Grass Green - 16 US Men/ 18 US Women M US,B071WCWSZB
Crocs,Crocband Flip Flop,B07CN7JHH5
Crocs,Women's Mercy Work Clog,B003ZJINVQ
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, cobblestone, 11 M US Women / 9 M US Men",B07CN6CCCP
Crocs,Women’s Crocs At Work Flat,B072FK63LP
Crocs,Unisex Bistro Work Clog,B01H87VJPW
Crocs,Women's Swiftwater Webbing Sandal,B07FKJYM8M
Crocs,Women's Freesail Anchor Print Clog,B07KX11H76
Crocs,Women's Coast Clog,B01J99J34G
Crocs,"Unisex Ralen Clog, Size: 4 D(M) US Mens / 6 B(M) US Womens, Color: Black",B00E3WZ6TG
Nike,Women's Tanjun Running Shoes,B004Y6PQBE
Nike,Women's Epic React Flyknit Running Shoe,B07M7W948G
Nike,Women's Reax Run 5 Running Shoes,B073NHB1VS
Nike,Women's Low-Top Trainers,B001PDTO08
Nike,Women's Revolution 4 Running Shoe,B06XK9L1NR
Nike,Women's Benassi Just Do It Sandal,B073C5GY8G
Nike,Womens Free RN Flyknit 2018 Running Athletic,B078Y9GNQF
Nike,Women's Flex RN 2018 Running Shoe,B075ZYK9GD
Nike,Women's Revolution 5 Running Shoe,B07NLCRQX4
Nike,Women's Run Swift Sneaker,B07144JK28
Nike,Women's in-Season TR 8 Cross Training Shoes,B078B2GSFR
Nike,Women's Air Zoom Pegasus 36 Running Shoe,B07H98Z61R
Nike,Women's Air Max Oketo Sneaker,B07HKKCLBF
Nike,Womens Zoom Hyperace 2 Volleyball Shoe,B0789SKFMW
Nike,Run Swift Sneaker,B07HCN2QNK
Nike,Women's Revolution 4 Wide Sneaker,B075ZYPVR4
Nike,Women's Downshifter 9 Sneaker,B07H84HP4K
Nike,Women's Free RN 5.0 Running Shoe,B07HB63Q9B
Nike,Men's Air Max Torch 4 Running Shoe,B009D3HSDM
Nike,Women's Flex Trainer 8 Cross,B079V77HGV
Nike,Women's Zoom Winflo 5 Running Shoes,B07BR3HB14
Nike,Women's Air Zoom Pegasus 34 Running Shoe,B07199FDWX
Nike,Women's Low-Top Trainers,B01IDLDQ80
Nike,Metcon 4 Womens Running Shoes,B07BSQSSZ6
Nike,Women's Flex Trainer 9 Sneaker,B07HDSRJML
Nike,Women's Court Royale Ac Sneaker,B07CXZSZNM
Nike,Women's Running Shoes,B07BQX949W
Nike,Women's Flex Experience Run 8 Shoe,B00SF6DKX0
Nike,Women's Free Tr 8 Running Shoes,B07KR6CRZ1
Nike,Women's Air Zoom Vapor X Tennis Shoes,B07FKCG5NQ
Nike,Kid's Tanjun Running Shoe,B00YFS73O4
Nike,Women's WMNS Odyssey React Low-Top Sneakers,B078JP4PT6
Nike,Women's Air Force 1 '07,B00OKV2W92
Nike,Free Rn Sense,B01K0NQJVU
Nike,W Air Max Thea MID Women's Sneaker Black 859550 001,B006Y66A6C
Nike,Womens Renew Rival Running Shoes,B076JKT67K
Nike,Womens Air Max 2017 Running Shoes,B06XSZ3ZCS
Nike,Women's Metcon 4 XD Training Shoe,B07HDS9CX5
Nike,Women's Kawa Slide Sandal,B005RFGSB8
Nike,"Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",B077YZQQH9
Nike,Women's Free Metcon 2 Training Shoe,B07HDSKBFM
Nike,Women's Free Rn Flyknit Running Shoe,B0763R6P1D
Nike,"Women's Running Shoes, Black",B078JZDBRS
Nike,"Women's Low-Top Sneakers Running Shoes, Black, 9.5 us",B017CK6I3S
Nike,Women's React Element 55 Running Shoes,B07N3YWYJZ
Nike,Women's Downshifter 7 Running Shoe,B00BIIN5AK
Nike,Women's Air Max Sequent 3 Running Shoe,B07FB8W32G
Nike,"Men's Gymnastics Shoes, Multicolour",B000AR8WI0
Nike,"Women's Air Zoom Pegasus 34 Running Shoe (9.5, Rust Pink Tropical Pink)",B07VD628MJ
Nike,Women's Flex RN 2018 Running Shoe,B00FVSQ5GO
Nike,Men's Air Max Torch 4 Running Shoe,B009D3HT6I
Nike,Women's in-Season TR 8 Women's Training Shoes,B0789RKKJD
Nike,SB Check Solarsoft Canvas,B0178Q384S
Nike,Air Zoom Terra Kiger 5 Women's Trail Running Shoe,B07H9BTZ5G
Nike,Precision Iii Basketball Shoe,B07HDSL9ML
Nike,Women's Air Max 270 Running Shoe,B07NJMBFFS
Nike,Women's Air Zoom Vomero 14 Running Shoe,B07DCNF22J
Nike,Women's Court Royale Ac SLP Sneaker,B07H7SF418
Nike,Men's Zoom Rival MD 8 Track Spike,B07HMC44XN
Nike,Women's Odyssey React Flyknit 2 Running Shoe,B00V9KO128
Nike,Women’s Air Max 90 Sneaker,B0074HSCKC
Nike,Men's Epic React Flyknit Running Shoes,B00O1F3NXG
Nike,Women's Court Lite Tennis Shoe,B01A67TGYW
Nike,Women's Flex Trainer 8 Cross,B0761YP3LC
Nike,"Lunar Empress 2 Sneakers, Women, Women, Lunar Empress 2",B0142QBZQA
Nike,Women's Flex Experience Run 8 (Wide) Shoe,B07FKMK1LW
Nike,Women's Free Tr 8 Running Shoes,B004U1FXRK
Nike,Men's Air Zoom Pegasus 35 Running Shoe,B075ZYR2X7
Nike,Women's Ebernon Low Sneaker,B078HF2MRP
Nike,Women's Flex Control Tr3 Sneaker,B07FKBHZKT
